Frame_number,Image_name,left_eyelid_opening_valid,left_eyelid_opening_mm,right_eyelid_opening_valid,right_eyelid_opening_mm
0,frame_0,1,8.306759,1,8.218197
1,frame_1,1,8.230459,1,8.291724
2,frame_2,1,8.722193,1,8.163418
3,frame_3,1,8.461135,1,8.290079
4,frame_4,1,8.457934,1,8.407548
5,frame_5,1,8.375063,1,8.363123
6,frame_6,1,8.444463,1,8.279162
7,frame_7,1,8.504954,1,8.469269
8,frame_8,1,8.437367,1,8.394454
9,frame_9,1,8.974602,1,8.344787
10,frame_10,1,8.987537,1,8.332308
11,frame_11,1,8.907134,1,8.247064
12,frame_12,1,8.445354,1,8.379023
13,frame_13,1,8.467916,1,8.345684
14,frame_14,1,8.482971,1,8.260279
15,frame_15,1,8.454772,1,8.285245
16,frame_16,1,8.440748,1,8.411664
17,frame_17,1,8.483689,1,8.392079
18,frame_18,1,8.450667,1,8.353128
19,frame_19,1,8.617705,1,8.466074
20,frame_20,1,8.448233,1,8.323906
21,frame_21,1,8.571114,1,8.325378
22,frame_22,1,8.524988,1,8.312068
23,frame_23,1,8.38398,1,8.407458
24,frame_24,1,8.507729,1,8.435745
25,frame_25,1,8.506107,1,8.275714
26,frame_26,1,8.47035,1,8.304584
27,frame_27,1,8.424599,1,8.524179
28,frame_28,1,8.606942,1,8.377265
29,frame_29,1,8.440464,1,7.796082
30,frame_30,1,5.426499,1,2.238996
31,frame_31,1,1.919167,1,1.206718
32,frame_32,1,4.897271,1,2.485681
33,frame_33,1,6.604093,1,4.684207
34,frame_34,1,7.711826,1,6.347576
35,frame_35,1,8.139569,1,7.228027
36,frame_36,1,8.404397,1,7.7288
37,frame_37,1,8.541382,1,7.907279
38,frame_38,1,8.596033,1,7.985611
39,frame_39,1,8.643562,1,8.104299
40,frame_40,1,8.604269,1,7.891633
41,frame_41,1,8.555237,1,8.130565
42,frame_42,1,8.490536,1,8.192537
43,frame_43,1,8.501424,1,8.245803
44,frame_44,1,8.574723,1,8.2909
45,frame_45,1,8.49867,1,8.225274
46,frame_46,1,8.637513,1,8.023264
47,frame_47,1,8.686384,1,8.227615
48,frame_48,1,8.506672,1,8.177739
49,frame_49,1,8.599388,1,8.139187
50,frame_50,1,8.586042,1,8.58307
51,frame_51,1,8.519363,1,8.169046
52,frame_52,1,8.37229,1,8.144239
53,frame_53,1,8.47697,1,8.25373
54,frame_54,1,8.430385,1,8.298511
55,frame_55,1,8.521161,1,8.151832
56,frame_56,1,8.532984,1,8.175323
57,frame_57,1,8.575677,1,8.270275
58,frame_58,1,8.589052,1,8.145078
